,C,R,RT,S,cond,day,prestim_R,stim
0,k,k,1.9030369371175766,N,practice,2,[],daluvory
1,k,k,0.5414535459131002,N,practice,2,[],onstont
2,j,j,0.57317262631841,W,practice,2,[],silence
3,j,j,0.5539903421886265,W,practice,2,[],seventh
4,k,k,0.5487817006651312,N,practice,2,[],cemmit
5,k,k,0.6875313804484904,N,practice,2,[],pluen
6,j,j,0.5253576866816729,W,practice,2,[],device
7,j,j,0.5458070510067046,W,practice,2,[],desk
8,k,k,0.7006441769190133,N,practice,2,[],fruod
9,j,j,0.5405136768240482,W,practice,2,[],bold
10,j,j,0.5881546444725245,W,practice,2,[],persuade
11,j,j,0.6281976357568055,W,practice,2,[],planet
12,k,k,0.6425913344137371,N,practice,2,[],mitoun
13,k,k,0.6751123680733144,N,practice,2,[],docint
14,j,j,0.5928915487602353,W,practice,2,[],delay
15,k,k,0.48201944469474256,N,practice,2,[],fruqoant
16,k,k,0.6513154711574316,N,practice,2,[],imorgu
17,j,j,0.4758177506737411,W,practice,2,[],harm
18,j,k,0.4669929565861821,W,practice,2,[],escape
19,k,k,0.6191946631297469,N,practice,2,[],bottir
20,j,k,0.4874669595155865,W,practice,2,['k'],handle
21,j,k,0.7788311908952892,W,practice,2,[],album
22,k,k,0.6435759735759348,N,practice,2,[],berst
23,k,j,0.45205751108005643,N,practice,2,[],menaol
