,stim,S,C,R,RT,block,cond,day,prestim_R
0,acrimony,W,j,k,1.844514761120081,1,single,2,[]
1,neciert,N,k,k,1.4146808877121657,1,single,2,[]
2,epithet,W,j,k,0.4752420508302748,1,single,2,[]
3,motient,N,k,k,0.6866167506668717,1,single,2,[]
4,horiwesnal,N,k,k,0.8283903568517417,1,single,2,[]
5,adequacy,W,j,k,0.49529900192283094,1,single,2,[]
6,repetition,P,d,d,0.8687431323342025,1,single,2,[]
7,calon,N,k,k,0.5030087530612946,1,single,2,[]
8,diducation,N,k,k,0.4663715853821486,1,single,2,[]
9,obscenity,W,j,k,0.5264279595576227,1,single,2,[]
10,ludied,N,k,k,0.49714178242720664,1,single,2,[]
11,anemfly,N,k,k,0.6344528133049607,1,single,2,[]
12,baggion,N,k,k,0.4888896835036576,1,single,2,[]
13,glacier,W,j,k,0.3701825321186334,1,single,2,[]
14,repetition,P,d,j,0.5646404894068837,1,single,2,[]
15,fossil,W,j,k,0.5455513512715697,1,single,2,['d']
16,reservoir,W,j,k,0.5983748196158558,1,single,2,[]
17,thwart,W,j,k,0.6346120620146394,1,single,2,[]
18,centurion,W,j,j,0.7731889716815203,1,single,2,[]
19,buffer,W,j,j,0.5367163412738591,1,single,2,[]
20,nucleus,W,j,j,0.591314683901146,1,single,2,[]
21,stute,N,k,j,0.7022889477666467,1,single,2,[]
22,boutique,W,j,j,0.6114164050668478,1,single,2,[]
23,irate,W,j,j,0.630637449445203,1,single,2,[]
24,steeple,W,j,j,0.6450783219188452,1,single,2,[]
25,hiccup,W,j,j,0.37355830892920494,1,single,2,[]
26,briging,N,k,j,0.29985159798525274,1,single,2,[]
27,repetition,P,d,d,0.6027093951124698,1,single,2,[]
28,transtrift,N,k,j,0.6768974582664669,1,single,2,[]
29,felilone,N,k,k,0.9748461821582168,1,single,2,[]
30,succulent,W,j,j,0.8660199758596718,1,single,2,[]
31,pseudonym,W,j,k,0.8431944972835481,1,single,2,[]
32,clutch,W,j,j,0.86946005304344,1,single,2,[]
33,whachiyty,N,k,k,0.6637242673896253,1,single,2,[]
34,etdenent,N,k,k,0.6823587950784713,1,single,2,[]
35,epiphany,W,j,k,0.4881439176388085,1,single,2,[]
36,horizontal,W,j,j,0.7085182848386467,1,single,2,[]
37,cotretion,N,k,j,0.51858239620924,1,single,2,[]
38,repetition,P,d,d,0.6221648058854043,1,single,2,[]
39,quift,N,k,k,0.6824206917081028,1,single,2,[]
40,addinocy,N,k,j,0.7121993389446288,1,single,2,[]
41,semplince,N,k,k,0.6303724353201687,1,single,2,[]
42,repetition,P,d,j,0.8367908878717571,1,single,2,[]
43,enmubating,N,k,j,0.7388290637172759,1,single,2,[]
44,cataract,W,j,j,0.542284645140171,1,single,2,[]
45,tesibinary,N,k,j,0.7749602403491735,1,single,2,[]
46,console,W,j,k,0.5666377113666385,1,single,2,[]
47,wrath,W,j,k,0.7976072400342673,1,single,2,[]
48,scatter,W,j,j,0.6484348685480654,1,single,2,[]
49,himping,N,k,j,0.5300050508230925,1,single,2,[]
50,obhoydous,N,k,j,0.756772510940209,1,single,2,[]
51,trench,W,j,j,0.6902957011479884,1,single,2,[]
52,adshapate,N,k,j,0.5461910511367023,1,single,2,[]
53,edirbory,N,k,j,0.43904897733591497,1,single,2,[]
54,measuring,W,j,j,0.4590163885150105,1,single,2,[]
55,raffle,W,j,j,0.43210031604394317,1,single,2,[]
56,addustic,N,k,j,0.39882870903238654,1,single,2,[]
57,deplus,N,k,j,0.5585376501549035,1,single,2,[]
58,blasphemy,W,j,k,0.4785880809649825,1,single,2,[]
59,blatant,W,j,j,0.5048932987265289,1,single,2,[]
60,repetition,P,d,d,0.7173575013875961,1,single,2,[]
61,garrison,W,j,k,0.6873607134912163,1,single,2,[]
62,retrodrice,N,k,j,0.8413135572336614,1,single,2,[]
63,walfing,N,k,k,0.5955522076692432,1,single,2,[]
64,rubour,N,k,k,0.5486717286985368,1,single,2,[]
65,shrint,N,k,k,0.411239608656615,1,single,2,[]
