,C,R,RT,S,cond,day,prestim_R,stim
0,s,s,0.8678712091256671,N,practice,1,[],imorgu
1,d,d,0.5435037877194304,W,practice,1,[],escape
2,s,s,0.9220690094479664,N,practice,1,[],cemmit
3,d,d,0.5817598743315671,W,practice,1,[],silence
4,s,s,0.6128852170171513,N,practice,1,[],fruqoant
5,s,s,0.5041125270572593,N,practice,1,[],pluen
6,d,d,0.6195652565829732,W,practice,1,[],album
7,s,d,0.6398619762965723,N,practice,1,[],mitoun
8,s,s,1.0424972146470282,N,practice,1,[],fruod
9,d,d,0.5911798959413659,W,practice,1,[],handle
10,d,d,0.7122583172982786,W,practice,1,[],planet
11,s,s,1.0663584049151495,N,practice,1,[],berst
12,d,d,0.6672476746659299,W,practice,1,[],seventh
13,s,s,0.7100219222600685,N,practice,1,[],bottir
14,s,s,0.5449619665613454,N,practice,1,[],daluvory
15,s,s,0.5315712395330934,N,practice,1,[],menaol
16,d,d,0.6263618783434595,W,practice,1,[],bold
17,s,s,0.6386769242972719,N,practice,1,[],onstont
18,s,s,0.7577833638409857,N,practice,1,[],docint
19,d,d,0.6064930273030882,W,practice,1,[],delay
20,d,d,0.666751899869098,W,practice,1,[],device
21,d,d,0.6214912665514021,W,practice,1,[],persuade
22,d,d,0.5217888516173161,W,practice,1,[],harm
23,d,d,0.4633288903899029,W,practice,1,[],desk
