,stim,S,C,R,RT,block,cond,day,prestim_R
208,stampill,N,s,-1,-1,1,single,2,-1
209,tursworce,N,s,-1,-1,1,single,2,-1
210,evasion,W,d,-1,-1,1,single,2,-1
211,collapsing,W,d,-1,-1,1,single,2,-1
212,reinpanct,N,s,-1,-1,1,single,2,-1
213,etuping,N,s,-1,-1,1,single,2,-1
214,gratwees,N,s,-1,-1,1,single,2,-1
215,plolding,N,s,-1,-1,1,single,2,-1
216,cavalry,W,d,-1,-1,1,single,2,-1
217,barbon,N,s,-1,-1,1,single,2,-1
218,geometry,W,d,-1,-1,1,single,2,-1
219,peculiar,P,j,-1,-1,1,single,2,-1
220,chone,N,s,-1,-1,1,single,2,-1
221,rannation,N,s,-1,-1,1,single,2,-1
222,smitter,N,s,-1,-1,1,single,2,-1
223,quell,W,d,-1,-1,1,single,2,-1
224,sunisest,N,s,-1,-1,1,single,2,-1
225,chameleon,W,d,-1,-1,1,single,2,-1
226,peculiar,P,j,-1,-1,1,single,2,-1
227,animosity,W,d,-1,-1,1,single,2,-1
228,setturing,N,s,-1,-1,1,single,2,-1
229,divyard,N,s,-1,-1,1,single,2,-1
230,forbid,W,d,-1,-1,1,single,2,-1
231,motain,N,s,-1,-1,1,single,2,-1
232,domecanial,N,s,-1,-1,1,single,2,-1
233,burtasion,N,s,-1,-1,1,single,2,-1
234,sursiss,N,s,-1,-1,1,single,2,-1
235,peculiar,P,j,-1,-1,1,single,2,-1
236,furmant,N,s,-1,-1,1,single,2,-1
237,drasing,N,s,-1,-1,1,single,2,-1
238,attosate,N,s,-1,-1,1,single,2,-1
239,bouncing,W,d,-1,-1,1,single,2,-1
240,utopia,W,d,-1,-1,1,single,2,-1
241,priscing,N,s,-1,-1,1,single,2,-1
242,hinder,W,d,-1,-1,1,single,2,-1
243,grumolous,N,s,-1,-1,1,single,2,-1
244,scramble,W,d,-1,-1,1,single,2,-1
245,chadure,N,s,-1,-1,1,single,2,-1
246,sagiaromy,N,s,-1,-1,1,single,2,-1
247,subpoena,W,d,-1,-1,1,single,2,-1
248,didirany,N,s,-1,-1,1,single,2,-1
249,beanony,N,s,-1,-1,1,single,2,-1
250,peculiar,P,j,-1,-1,1,single,2,-1
251,cathode,W,d,-1,-1,1,single,2,-1
252,utbiate,N,s,-1,-1,1,single,2,-1
253,pararing,N,s,-1,-1,1,single,2,-1
254,envoy,W,d,-1,-1,1,single,2,-1
255,spipy,N,s,-1,-1,1,single,2,-1
256,coronation,W,d,-1,-1,1,single,2,-1
257,squaving,N,s,-1,-1,1,single,2,-1
258,wrorigier,N,s,-1,-1,1,single,2,-1
259,prevalence,W,d,-1,-1,1,single,2,-1
260,gemble,N,s,-1,-1,1,single,2,-1
261,peculiar,P,j,-1,-1,1,single,2,-1
262,plilal,N,s,-1,-1,1,single,2,-1
263,drivel,W,d,-1,-1,1,single,2,-1
264,innirtion,N,s,-1,-1,1,single,2,-1
265,peculiar,P,j,-1,-1,1,single,2,-1
266,antaxocent,N,s,-1,-1,1,single,2,-1
267,brilliance,W,d,-1,-1,1,single,2,-1
268,gloom,W,d,-1,-1,1,single,2,-1
269,jurtfure,N,s,-1,-1,1,single,2,-1
270,ludied,N,s,-1,-1,1,single,2,-1
271,goozing,N,s,-1,-1,1,single,2,-1
272,peculiar,P,j,-1,-1,1,single,2,-1
273,propriety,W,d,-1,-1,1,single,2,-1
274,mimecity,N,s,-1,-1,1,single,2,-1
275,locinlate,N,s,-1,-1,1,single,2,-1
276,utter,W,d,-1,-1,1,single,2,-1
277,starl,N,s,-1,-1,1,single,2,-1
278,mural,W,d,-1,-1,1,single,2,-1
279,czell,N,s,-1,-1,1,single,2,-1
280,stishation,N,s,-1,-1,1,single,2,-1
281,chost,N,s,-1,-1,1,single,2,-1
282,hattified,N,s,-1,-1,1,single,2,-1
283,accusation,W,d,-1,-1,1,single,2,-1
284,peculiar,P,j,-1,-1,1,single,2,-1
285,cordial,W,d,-1,-1,1,single,2,-1
286,thirst,W,d,-1,-1,1,single,2,-1
287,pinnacle,W,d,-1,-1,1,single,2,-1
288,plush,W,d,-1,-1,1,single,2,-1
289,circeycent,N,s,-1,-1,1,single,2,-1
290,cuftivent,N,s,-1,-1,1,single,2,-1
291,flimsy,W,d,-1,-1,1,single,2,-1
292,peculiar,P,j,-1,-1,1,single,2,-1
293,juttling,N,s,-1,-1,1,single,2,-1
294,bumbling,W,d,-1,-1,1,single,2,-1
295,muster,W,d,-1,-1,1,single,2,-1
296,despicable,W,d,-1,-1,1,single,2,-1
297,bauterimal,N,s,-1,-1,1,single,2,-1
298,applicant,W,d,-1,-1,1,single,2,-1
299,lycophite,N,s,-1,-1,1,single,2,-1
300,dralk,N,s,-1,-1,1,single,2,-1
301,fanciful,W,d,-1,-1,1,single,2,-1
302,stimulant,W,d,-1,-1,1,single,2,-1
303,stringack,N,s,-1,-1,1,single,2,-1
304,pestilence,W,d,-1,-1,1,single,2,-1
305,gaddit,N,s,-1,-1,1,single,2,-1
306,scarcity,W,d,-1,-1,1,single,2,-1
307,peculiar,P,j,-1,-1,1,single,2,-1
308,pretatance,N,s,-1,-1,1,single,2,-1
309,cheetah,W,d,-1,-1,1,single,2,-1
310,shuffle,W,d,-1,-1,1,single,2,-1
311,quantum,W,d,-1,-1,1,single,2,-1
312,lenient,W,d,-1,-1,1,single,2,-1
313,umbter,N,s,-1,-1,1,single,2,-1
314,suspense,W,d,-1,-1,1,single,2,-1
315,peculiar,P,j,-1,-1,1,single,2,-1
316,affable,W,d,-1,-1,1,single,2,-1
317,extying,N,s,-1,-1,1,single,2,-1
318,boontidol,N,s,-1,-1,1,single,2,-1
319,cansender,N,s,-1,-1,1,single,2,-1
320,cosmetic,W,d,-1,-1,1,single,2,-1
321,manipulate,W,d,-1,-1,1,single,2,-1
322,lattall,N,s,-1,-1,1,single,2,-1
323,leash,W,d,-1,-1,1,single,2,-1
324,nitrogen,W,d,-1,-1,1,single,2,-1
325,buddhing,N,s,-1,-1,1,single,2,-1
326,carynx,N,s,-1,-1,1,single,2,-1
