,stim,S,C,R,RT,block,cond,day,prestim_R
0,obsessive,W,k,j,1.7411057334393263,1,multi,1,[]
1,prescient,W,k,k,5.53656305745244,1,multi,1,[]
2,divinity,P,d,d,0.9439865127205849,1,multi,1,[]
3,ocarsion,N,j,k,0.8299097362905741,1,multi,1,[]
4,drooty,N,j,space,1.2380344867706299,1,multi,1,[]
5,previche,N,j,j,1.2993867136538029,1,multi,1,[]
6,shalloan,N,j,j,2.4641824066638947,1,multi,1,[]
7,arteries,W,k,j,0.8041153475642204,1,multi,1,[]
8,moderation,W,k,j,1.321125365793705,1,multi,1,[]
9,accelerate,W,k,k,4.826077248901129,1,multi,1,[]
10,advenogy,N,j,k,0.6538837011903524,1,multi,1,[]
11,enrucking,N,j,k,0.9145822860300541,1,multi,1,[]
12,grate,W,k,k,0.6783124562352896,1,multi,1,[]
13,accutilate,N,j,k,0.7081220168620348,1,multi,1,[]
14,bucirittic,N,j,k,0.6173856947571039,1,multi,1,[]
15,addustic,N,j,j,0.5537997782230377,1,multi,1,[]
16,procuring,W,k,j,1.0675394907593727,1,multi,1,[]
17,atshuill,N,j,j,1.5435802191495895,1,multi,1,[]
18,commencing,W,k,k,0.7351738680154085,1,multi,1,[]
19,calon,N,j,j,0.5424844063818455,1,multi,1,[]
20,miraculous,P,d,d,0.7511723563075066,1,multi,1,[]
21,ditosing,N,j,k,2.039532145485282,1,multi,1,[]
22,chist,N,j,j,0.9022170715034008,1,multi,1,[]
23,quantify,W,k,j,0.8778000362217426,1,multi,1,[]
24,dispatch,P,d,d,1.2362959701567888,1,multi,1,[]
25,gratyvos,N,j,j,1.5836045313626528,1,multi,1,[]
26,legitimacy,W,k,k,1.318583995103836,1,multi,1,[]
27,volley,W,k,j,0.6214573550969362,1,multi,1,[]
28,dwindling,W,k,k,0.9499562364071608,1,multi,1,[]
29,eloquence,W,k,k,0.9398517534136772,1,multi,1,[]
30,quirel,N,j,k,0.591660114005208,1,multi,1,[]
31,gructoli,N,j,k,0.5079295337200165,1,multi,1,[]
32,inklining,N,j,j,0.6094139441847801,1,multi,1,[]
33,tucesphy,N,j,j,0.48573477007448673,1,multi,1,[]
34,tiring,P,d,d,1.0059925597161055,1,multi,1,[]
35,horrendous,W,k,k,0.7184548545628786,1,multi,1,[]
36,angling,W,k,k,0.6185863688588142,1,multi,1,[]
37,panfour,N,j,k,0.5588897299021482,1,multi,1,[]
38,mitery,N,j,k,0.6219131667166948,1,multi,1,[]
39,poudly,N,j,j,3.3103628549724817,1,multi,1,[]
40,pungent,W,k,j,0.6430824305862188,1,multi,1,[]
41,devoid,W,k,k,0.4387188348919153,1,multi,1,[]
42,shining,W,k,k,0.4406604692339897,1,multi,1,[]
43,fulfilment,W,k,j,0.7625514287501574,1,multi,1,['j']
44,discrete,P,d,k,0.4081701207906008,1,multi,1,['k']
45,lycophite,N,j,j,5.141880102455616,1,multi,1,[]
46,tyletolian,N,j,j,0.658224580809474,1,multi,1,[]
47,stampede,W,k,j,0.4459210839122534,1,multi,1,[]
48,brinch,N,j,j,0.4760235995054245,1,multi,1,[]
49,initiation,W,k,j,0.6512341629713774,1,multi,1,[]
50,mystique,W,k,j,0.44100750982761383,1,multi,1,[]
51,excryling,N,j,j,0.5430706217885017,1,multi,1,[]
52,denmisable,N,j,j,0.6798980329185724,1,multi,1,[]
53,churple,N,j,j,0.5485559888184071,1,multi,1,[]
54,bensanfy,N,j,j,0.7732556480914354,1,multi,1,[]
55,disturb,P,d,j,0.3287563845515251,1,multi,1,[]
56,pararing,N,j,j,0.4529012870043516,1,multi,1,[]
57,authimable,N,j,j,0.6249812580645084,1,multi,1,[]
58,codead,N,j,j,0.38343849405646324,1,multi,1,[]
59,furmant,N,j,j,0.4158392995595932,1,multi,1,[]
60,laren,N,j,j,0.3244945276528597,1,multi,1,[]
61,symptom,W,k,j,0.9724737070500851,1,multi,1,[]
62,sittinest,N,j,k,0.864666223526001,1,multi,1,[]
63,custick,N,j,j,0.4770475998520851,1,multi,1,[]
64,dissipate,W,k,j,0.46028892509639263,1,multi,1,[]
65,relativity,P,d,d,0.7314216066151857,1,multi,1,[]
66,ceydery,N,j,j,0.9035391379147768,1,multi,1,[]
67,calcium,W,k,j,0.8060705009847879,1,multi,1,[]
68,lalligra,N,j,j,0.8169357720762491,1,multi,1,[]
69,tolecolary,N,j,j,0.7558389455080032,1,multi,1,[]
70,inplise,N,j,j,1.2052601967006922,1,multi,1,[]
71,terrain,W,k,j,0.6592431720346212,1,multi,1,[]
72,splankle,N,j,j,0.8890288732945919,1,multi,1,[]
73,tabloid,W,k,j,0.6294279024004936,1,multi,1,[]
74,alternate,P,d,d,0.719004712998867,1,multi,1,[]
75,distoft,N,j,j,0.6430977527052164,1,multi,1,[]
76,rejourning,N,j,j,1.7807223107665777,1,multi,1,[]
77,tangible,W,k,j,0.8503110017627478,1,multi,1,[]
78,inferno,W,k,j,0.684576939791441,1,multi,1,[]
79,roulette,W,k,k,0.7745554782450199,1,multi,1,[]
80,stapegies,N,j,k,0.6020680703222752,1,multi,1,[]
81,mamexucate,N,j,k,0.5364536866545677,1,multi,1,[]
82,strilt,N,j,j,0.5712660606950521,1,multi,1,[]
83,exploding,W,k,j,0.6881516240537167,1,multi,1,[]
84,munance,N,j,j,0.67412812076509,1,multi,1,[]
85,camhet,N,j,k,0.42984116822481155,1,multi,1,[]
86,disparage,W,k,j,0.8258308656513691,1,multi,1,[]
87,discrete,P,d,d,0.7779685091227293,1,multi,1,[]
88,immunity,W,k,d,1.2775245662778616,1,multi,1,[]
89,tuddle,N,j,j,0.5382402781397104,1,multi,1,[]
90,jostling,W,k,k,0.5218833293765783,1,multi,1,[]
91,deseave,N,j,k,0.6884791366755962,1,multi,1,[]
92,autonomy,W,k,j,0.34282495826482773,1,multi,1,[]
93,microchike,N,j,j,0.8167455736547709,1,multi,1,[]
94,feminine,W,k,j,0.9396474361419678,1,multi,1,[]
95,ilhecating,N,j,j,0.3956264294683933,1,multi,1,[]
96,olvedious,N,j,j,0.6781625226140022,1,multi,1,[]
97,spack,N,j,j,0.5399700794368982,1,multi,1,[]
98,trilogy,W,k,j,0.5555947832763195,1,multi,1,[]
99,dispatch,P,d,d,1.096551302820444,1,multi,1,[]
100,haint,N,j,j,0.510687543079257,1,multi,1,[]
101,blucer,N,j,j,0.45811743289232254,1,multi,1,[]
102,revel,W,k,j,0.4301425404846668,1,multi,1,[]
103,telsh,N,j,j,0.4560318775475025,1,multi,1,[]
104,complicate,W,k,j,0.6131250392645597,1,multi,1,[]
105,snide,W,k,j,0.6664475239813328,1,multi,1,[]
106,donation,W,k,k,0.34419930540025234,1,multi,1,[]
107,inquire,W,k,k,0.5643961299210787,1,multi,1,[]
108,divinity,P,d,d,0.8573332689702511,1,multi,1,[]
109,tendencies,W,k,k,0.4516387153416872,1,multi,1,[]
110,havoc,W,k,j,0.11167091876268387,1,multi,1,[]
111,centurion,W,k,j,0.8100817669183016,1,multi,1,[]
112,incorrant,N,j,k,0.7750386316329241,1,multi,1,[]
113,whachiyty,N,j,j,0.951811334118247,1,multi,1,[]
114,colel,N,j,j,0.4617230650037527,1,multi,1,[]
115,adquocing,N,j,j,0.48176376707851887,1,multi,1,[]
116,miraculous,P,d,d,0.723070964217186,1,multi,1,[]
117,mandish,N,j,j,0.48827463760972023,1,multi,1,[]
118,revive,W,k,j,0.4645637013018131,1,multi,1,[]
119,orclack,N,j,j,0.3857899643480778,1,multi,1,[]
120,setturing,N,j,j,0.5222189538180828,1,multi,1,[]
121,imnilerate,N,j,j,0.3597365729510784,1,multi,1,[]
122,salamander,W,k,j,0.3079690169543028,1,multi,1,[]
123,chasirt,N,j,j,0.6929792650043964,1,multi,1,[]
124,alternate,P,d,d,0.748883381485939,1,multi,1,[]
125,provoking,W,k,j,0.48419216088950634,1,multi,1,[]
126,fidshe,N,j,k,0.5275811292231083,1,multi,1,[]
127,imposition,W,k,j,0.4903517793864012,1,multi,1,[]
128,marale,N,j,j,1.015838036313653,1,multi,1,[]
129,aminopies,N,j,j,0.5112419091165066,1,multi,1,[]
130,bispout,N,j,j,0.682673167437315,1,multi,1,[]
131,capability,W,k,j,0.8564480859786272,1,multi,1,[]
132,chuipe,N,j,j,0.3488499689847231,1,multi,1,[]
133,ministries,W,k,j,0.3839507922530174,1,multi,1,[]
134,ilant,N,j,j,0.4745002221316099,1,multi,1,[]
135,tiring,P,d,j,0.2955965921282768,1,multi,1,[]
136,sunfreas,N,j,j,0.28651731088757515,1,multi,1,[]
137,twinkle,W,k,j,0.4401397556066513,1,multi,1,[]
138,earalyll,N,j,j,0.4131885599344969,1,multi,1,[]
139,fizzle,W,k,j,0.4658349882811308,1,multi,1,[]
140,elicit,W,k,j,0.38712855614721775,1,multi,1,[]
141,complicity,W,k,j,0.760786771774292,1,multi,1,[]
142,apostrophe,W,k,j,0.662352429702878,1,multi,1,[]
143,stoic,W,k,k,0.5881338063627481,1,multi,1,[]
144,buddhing,N,j,k,0.59518251568079,1,multi,1,[]
145,wrirgish,N,j,k,0.9674381408840418,1,multi,1,[]
146,atlemen,N,j,j,0.5406557489186525,1,multi,1,[]
147,stifling,W,k,j,0.7883446142077446,1,multi,1,[]
148,treesling,N,j,j,0.4552206080406904,1,multi,1,[]
149,relativity,P,d,d,0.7243013847619295,1,multi,1,[]
150,blemish,W,k,j,0.6724478974938393,1,multi,1,[]
151,turmint,N,j,j,0.45628216676414013,1,multi,1,[]
152,shady,W,k,j,0.9883511066436768,1,multi,1,[]
153,didenation,N,j,j,0.3957219794392586,1,multi,1,[]
154,chetette,N,j,j,0.5353170111775398,1,multi,1,[]
155,finase,N,j,j,1.0469339061528444,1,multi,1,[]
156,dediding,N,j,j,0.5977476220577955,1,multi,1,[]
157,swantet,N,j,j,0.41488771326839924,1,multi,1,[]
158,curtiff,N,j,j,0.8046030104160309,1,multi,1,[]
159,vuwreos,N,j,j,0.5574078150093555,1,multi,1,[]
160,asparagus,W,k,j,0.6711561772972345,1,multi,1,[]
161,disturb,P,d,j,0.231035053730011,1,multi,1,[]
162,hocignaphy,N,j,j,0.49030821211636066,1,multi,1,[]
163,colshirate,N,j,j,0.6756337732076645,1,multi,1,[]
164,lance,W,k,j,0.42544920928776264,1,multi,1,[]
165,militant,W,k,j,0.4913225956261158,1,multi,1,[]
166,ingual,N,j,j,0.4248200263828039,1,multi,1,[]
167,tiring,P,d,d,0.6886723376810551,1,multi,1,[]
168,whintum,N,j,j,0.44855259358882904,1,multi,1,[]
169,charade,W,k,j,0.5624749306589365,1,multi,1,[]
170,choix,N,j,j,0.3534955233335495,1,multi,1,[]
171,grumbling,W,k,j,0.533673444762826,1,multi,1,[]
172,chaspling,N,j,j,0.26445174776017666,1,multi,1,[]
173,consating,N,j,j,0.43999132327735424,1,multi,1,[]
174,dispatch,P,d,d,0.5539331883192062,1,multi,1,[]
175,jingle,W,k,j,0.5636686943471432,1,multi,1,[]
176,caliratend,N,j,j,0.627702608704567,1,multi,1,[]
177,esdarsion,N,j,j,0.4901417512446642,1,multi,1,[]
178,brunt,W,k,j,0.5863976944237947,1,multi,1,[]
179,rumble,W,k,j,0.4525749757885933,1,multi,1,[]
180,shuggle,N,j,j,0.5077633764594793,1,multi,1,[]
181,indetbimy,N,j,j,1.303141076117754,1,multi,1,[]
182,landle,N,j,j,0.45087041333317757,1,multi,1,[]
183,disturb,P,d,d,0.7488031554967165,1,multi,1,[]
184,manierphe,N,j,j,0.7881012354046106,1,multi,1,[]
185,groarance,N,j,j,0.7868014052510262,1,multi,1,[]
186,vocation,W,k,j,0.6484280806034803,1,multi,1,[]
187,vivacious,W,k,j,0.6361454967409372,1,multi,1,[]
188,topography,W,k,j,0.6547114942222834,1,multi,1,[]
189,bubbling,W,k,j,0.5644580256193876,1,multi,1,[]
190,blasphemy,W,k,j,0.6605006344616413,1,multi,1,[]
191,bacteria,W,k,j,0.6892059706151485,1,multi,1,[]
192,exswayit,N,j,j,0.43625859171152115,1,multi,1,[]
193,scafearism,N,j,j,0.838182857260108,1,multi,1,[]
194,elilorism,N,j,j,0.5012792479246855,1,multi,1,[]
195,strepe,N,j,j,0.3847350161522627,1,multi,1,[]
196,curtail,W,k,j,0.6651690285652876,1,multi,1,[]
197,vampire,W,k,j,0.49704984202980995,1,multi,1,[]
198,wither,W,k,j,0.5265099555253983,1,multi,1,[]
199,discrete,P,d,j,0.321306549012661,1,multi,1,[]
200,flaling,N,j,j,0.3063299562782049,1,multi,1,['j']
201,satchel,W,k,j,0.527139438316226,1,multi,1,[]
202,lenute,N,j,j,0.45791161246597767,1,multi,1,[]
203,stadasty,N,j,j,0.49393637850880623,1,multi,1,[]
204,depocatism,N,j,j,0.6391991637647152,1,multi,1,[]
205,precuce,N,j,j,0.4056792315095663,1,multi,1,[]
206,mirage,W,k,j,0.5143000856041908,1,multi,1,[]
207,pummer,N,j,j,0.4829944893717766,1,multi,1,[]
208,spoxtre,N,j,j,0.39630158245563507,1,multi,1,[]
209,accusation,W,k,j,0.5988305136561394,1,multi,1,[]
210,rappall,N,j,j,0.4591164942830801,1,multi,1,[]
211,alternate,P,d,d,0.6791510656476021,1,multi,1,[]
212,scenic,W,k,j,0.4529568739235401,1,multi,1,[]
213,icolent,N,j,j,0.3389876652508974,1,multi,1,[]
214,affluent,W,k,j,1.157161669805646,1,multi,1,[]
215,ennesall,N,j,j,0.42182194255292416,1,multi,1,[]
216,miraculous,P,d,d,0.7395360823720694,1,multi,1,[]
217,congrode,N,j,j,0.49083974212408066,1,multi,1,[]
218,ancerfy,N,j,j,0.5951128080487251,1,multi,1,[]
219,prometosm,N,j,j,0.5173225067555904,1,multi,1,[]
220,shudder,W,k,j,0.46684576757252216,1,multi,1,[]
