,C,R,RT,S,cond,day,prestim_R,stim
0,k,j,1.0460535306483507,W,practice,1,[],desk
1,j,j,1.7589187566190958,N,practice,1,[],imorgu
2,k,k,0.6642580032348633,W,practice,1,[],planet
3,k,k,0.8109347987920046,W,practice,1,[],silence
4,j,j,1.7877415735274553,N,practice,1,[],daluvory
5,j,j,1.3533582109957933,N,practice,1,[],berst
6,k,k,1.021465227007866,W,practice,1,[],album
7,k,k,0.6150092836469412,W,practice,1,[],bold
8,k,k,0.7233275659382343,W,practice,1,[],escape
9,k,k,0.54342938400805,W,practice,1,[],handle
10,j,j,0.7841590773314238,N,practice,1,[],fruod
11,k,k,0.4628215804696083,W,practice,1,[],seventh
12,j,j,0.5489949751645327,N,practice,1,[],docint
13,k,k,0.5038055945187807,W,practice,1,[],persuade
14,j,j,0.5952317919582129,N,practice,1,[],cemmit
15,j,j,1.4203673712909222,N,practice,1,[],bottir
16,k,k,0.7700400240719318,W,practice,1,[],delay
17,j,j,0.677563987672329,N,practice,1,[],menaol
18,k,k,0.6833774670958519,W,practice,1,[],device
19,j,j,0.5472949203103781,N,practice,1,[],pluen
20,j,j,0.6290439032018185,N,practice,1,[],onstont
21,j,j,1.0034574996680021,N,practice,1,[],mitoun
22,j,j,1.443921459838748,N,practice,1,[],fruqoant
23,k,k,0.6617857441306114,W,practice,1,[],harm
