,C,R,RT,S,cond,day,prestim_R,stim
0,j,j,0.65870341937989,N,practice,2,[],fruqoant
1,j,j,0.6080105812288821,N,practice,2,[],daluvory
2,j,j,0.48460168088786304,N,practice,2,[],docint
3,k,k,0.6120182457379997,W,practice,2,[],device
4,k,k,0.5101977901067585,W,practice,2,[],album
5,k,k,0.37760082772001624,W,practice,2,[],desk
6,j,j,0.4820047216489911,N,practice,2,[],onstont
7,k,k,0.6192971232812852,W,practice,2,[],persuade
8,j,j,0.542549358913675,N,practice,2,[],fruod
9,k,k,0.4712244709953666,W,practice,2,[],escape
10,j,j,0.5173612874932587,N,practice,2,[],cemmit
11,k,k,0.45086644939146936,W,practice,2,[],planet
12,j,j,0.4927756576798856,N,practice,2,[],pluen
13,j,j,0.6780825108289719,N,practice,2,[],berst
14,k,k,0.5068066895473748,W,practice,2,[],delay
15,k,k,0.5182083114050329,W,practice,2,[],handle
16,j,j,0.5087876860052347,N,practice,2,[],menaol
17,k,k,0.5361896180547774,W,practice,2,[],seventh
18,k,k,0.5198284438811243,W,practice,2,[],silence
19,k,k,0.48535375646315515,W,practice,2,[],harm
20,j,j,0.41248685820028186,N,practice,2,[],imorgu
21,j,j,0.4182090025860816,N,practice,2,[],bottir
22,k,k,0.510876250686124,W,practice,2,[],bold
23,j,j,0.41024625580757856,N,practice,2,[],mitoun
