,stim,S,C,R,RT,block,cond,day,prestim_R
0,edigagic,N,j,-1,-1,1,single,2,-1
1,chuipe,N,j,-1,-1,1,single,2,-1
2,anscar,N,j,-1,-1,1,single,2,-1
3,setturing,N,j,-1,-1,1,single,2,-1
4,onsecomist,N,j,-1,-1,1,single,2,-1
5,stund,N,j,-1,-1,1,single,2,-1
6,inertia,P,d,-1,-1,1,single,2,-1
7,marrat,N,j,-1,-1,1,single,2,-1
8,asikeing,N,j,-1,-1,1,single,2,-1
9,sunisest,N,j,-1,-1,1,single,2,-1
10,registry,W,k,-1,-1,1,single,2,-1
11,jusar,N,j,-1,-1,1,single,2,-1
12,arrogance,W,k,-1,-1,1,single,2,-1
13,rebicant,N,j,-1,-1,1,single,2,-1
14,pemmimine,N,j,-1,-1,1,single,2,-1
15,atslianct,N,j,-1,-1,1,single,2,-1
16,inertia,P,d,-1,-1,1,single,2,-1
17,clite,N,j,-1,-1,1,single,2,-1
18,spange,N,j,-1,-1,1,single,2,-1
19,driest,W,k,-1,-1,1,single,2,-1
20,hirgup,N,j,-1,-1,1,single,2,-1
21,dynamite,W,k,-1,-1,1,single,2,-1
22,constrorn,N,j,-1,-1,1,single,2,-1
23,enbot,N,j,-1,-1,1,single,2,-1
24,convey,W,k,-1,-1,1,single,2,-1
25,brittle,W,k,-1,-1,1,single,2,-1
26,reimburse,W,k,-1,-1,1,single,2,-1
27,rexpise,N,j,-1,-1,1,single,2,-1
28,inertia,P,d,-1,-1,1,single,2,-1
29,liberties,W,k,-1,-1,1,single,2,-1
30,endorsing,W,k,-1,-1,1,single,2,-1
31,commurnive,N,j,-1,-1,1,single,2,-1
32,costoceral,N,j,-1,-1,1,single,2,-1
33,fulfilment,W,k,-1,-1,1,single,2,-1
34,accaramos,N,j,-1,-1,1,single,2,-1
35,tracing,W,k,-1,-1,1,single,2,-1
36,circulate,W,k,-1,-1,1,single,2,-1
37,inertia,P,d,-1,-1,1,single,2,-1
38,frell,N,j,-1,-1,1,single,2,-1
39,rescail,N,j,-1,-1,1,single,2,-1
40,comstaring,N,j,-1,-1,1,single,2,-1
41,aylictic,N,j,-1,-1,1,single,2,-1
42,dicuttic,N,j,-1,-1,1,single,2,-1
43,monologue,W,k,-1,-1,1,single,2,-1
44,comparting,N,j,-1,-1,1,single,2,-1
45,brutish,W,k,-1,-1,1,single,2,-1
46,betley,N,j,-1,-1,1,single,2,-1
47,inertia,P,d,-1,-1,1,single,2,-1
48,punshant,N,j,-1,-1,1,single,2,-1
49,travesty,W,k,-1,-1,1,single,2,-1
50,plunzied,N,j,-1,-1,1,single,2,-1
51,langiant,N,j,-1,-1,1,single,2,-1
52,hiccup,W,k,-1,-1,1,single,2,-1
53,chasirt,N,j,-1,-1,1,single,2,-1
54,castartus,N,j,-1,-1,1,single,2,-1
55,iterare,N,j,-1,-1,1,single,2,-1
56,groarance,N,j,-1,-1,1,single,2,-1
57,intestine,W,k,-1,-1,1,single,2,-1
58,chone,N,j,-1,-1,1,single,2,-1
59,constegent,N,j,-1,-1,1,single,2,-1
60,dylurality,N,j,-1,-1,1,single,2,-1
61,inertia,P,d,-1,-1,1,single,2,-1
62,excrersing,N,j,-1,-1,1,single,2,-1
63,nuirian,N,j,-1,-1,1,single,2,-1
64,acronym,W,k,-1,-1,1,single,2,-1
65,dividing,W,k,-1,-1,1,single,2,-1
66,inertia,P,d,-1,-1,1,single,2,-1
67,ficelle,N,j,-1,-1,1,single,2,-1
68,wiring,W,k,-1,-1,1,single,2,-1
69,rerivetion,N,j,-1,-1,1,single,2,-1
70,solemn,W,k,-1,-1,1,single,2,-1
71,deseave,N,j,-1,-1,1,single,2,-1
72,enrol,W,k,-1,-1,1,single,2,-1
73,brilleight,N,j,-1,-1,1,single,2,-1
74,lurch,W,k,-1,-1,1,single,2,-1
75,resonant,W,k,-1,-1,1,single,2,-1
76,posiration,N,j,-1,-1,1,single,2,-1
77,dright,N,j,-1,-1,1,single,2,-1
78,spagnonti,N,j,-1,-1,1,single,2,-1
79,inertia,P,d,-1,-1,1,single,2,-1
80,ospemerate,N,j,-1,-1,1,single,2,-1
81,linen,W,k,-1,-1,1,single,2,-1
82,flotation,W,k,-1,-1,1,single,2,-1
83,raople,N,j,-1,-1,1,single,2,-1
84,droene,N,j,-1,-1,1,single,2,-1
85,console,W,k,-1,-1,1,single,2,-1
86,edifying,W,k,-1,-1,1,single,2,-1
87,barch,N,j,-1,-1,1,single,2,-1
88,brafing,N,j,-1,-1,1,single,2,-1
89,inertia,P,d,-1,-1,1,single,2,-1
90,scribe,W,k,-1,-1,1,single,2,-1
91,flint,W,k,-1,-1,1,single,2,-1
92,addinocy,N,j,-1,-1,1,single,2,-1
93,trombonist,W,k,-1,-1,1,single,2,-1
94,conructune,N,j,-1,-1,1,single,2,-1
95,ruggling,N,j,-1,-1,1,single,2,-1
