,C,R,RT,S,cond,day,prestim_R,stim
0,j,j,0.8302706959657371,N,practice,2,[],cemmit
1,j,j,0.4512937171384692,N,practice,2,[],fruod
2,k,k,0.5092248693108559,W,practice,2,[],delay
3,j,j,0.4246222269721329,N,practice,2,[],docint
4,j,j,0.5102503723464906,N,practice,2,[],berst
5,j,j,0.4096723587717861,N,practice,2,[],mitoun
6,k,k,0.5183768749702722,W,practice,2,[],silence
7,k,k,0.4769078546669334,W,practice,2,[],desk
8,j,j,0.45210408396087587,N,practice,2,[],imorgu
9,k,k,0.4620210852008313,W,practice,2,[],device
10,j,j,0.5268311898689717,N,practice,2,[],fruqoant
11,k,k,0.4833273889962584,W,practice,2,[],album
12,k,k,0.4766139951534569,W,practice,2,[],planet
13,k,k,0.4907976659014821,W,practice,2,[],bold
14,k,k,0.44991966942325234,W,practice,2,[],escape
15,k,k,0.45289311720989645,W,practice,2,[],handle
16,k,k,0.4516533794812858,W,practice,2,[],persuade
17,k,k,0.39758446416817605,W,practice,2,[],harm
18,j,j,0.5131658297032118,N,practice,2,[],bottir
19,j,j,0.48138575395569205,N,practice,2,[],daluvory
20,j,j,0.408589466009289,N,practice,2,[],pluen
21,j,j,0.453211915679276,N,practice,2,[],onstont
22,k,k,0.5591115474235266,W,practice,2,[],seventh
23,j,j,0.5448320268187672,N,practice,2,[],menaol
